Id|RoomId|CameraId|CurrentPersonId|MostSimilarPersonId|LastPhotoPath|MostSimilarPhotoPath|FirstDetectionSimilarity|LastDetectionSimilarity|EnteringTime|LastDetectionTime|LeavingTime|IsViolation
1|1|1|1|1|..\data\images\events\1\2023-05-24-01.08.00.285798\3e35af94-d743-4a8a-b014-aa98975f00d1.png|..\data\images\test_images\3e35af94-d743-4a8a-b014-aa98975f00d1\2023-05-24-00.56.58.257674.png|1|1,0000002|24.05.2023 1:08:00|24.05.2023 1:09:16||True
2|1|1|2|2|..\data\images\events\1\2023-05-24-01.08.36.831821\4ba29978-d023-47c3-b2b9-83e92defa075.png|..\data\images\test_images\4ba29978-d023-47c3-b2b9-83e92defa075\2023-05-24-00.57.34.929929.png|0,99999994|0,8142578|24.05.2023 1:08:36|24.05.2023 1:09:16||True
